PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;442426872653;us-east-1;2026-04-20 09:06:04.789728;1.0.3;Checks whether EBS volumes that are in an attached state are encrypted;EBS checks;;;ebs;;PASS;EBS Default Encryption is activated.;arn:aws:ec2:us-east-1:442426872653:volume;ec2_ebs_default_encryption;False;442426872653;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;442426872653;us-east-1;2026-04-20 09:06:04.789728;1.0.3;Checks whether EBS volumes that are in an attached state are encrypted;EBS checks;;;ebs;;FAIL;EBS Snapshot vol-08b711c3d1c514b75 is unencrypted.;arn:aws:ec2:us-east-1:442426872653:volume/vol-08b711c3d1c514b75;ec2_ebs_volume_encryption;False;vol-08b711c3d1c514b75;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;442426872653;us-east-1;2026-04-20 09:06:04.789728;1.0.2;Checks whether EBS volumes are attached to EC2 instances;EBS checks;;;ebs;;FAIL;Snapshots not found for the EBS volume vol-08b711c3d1c514b75.;arn:aws:ec2:us-east-1:442426872653:volume/vol-08b711c3d1c514b75;ec2_ebs_volume_snapshots_exists;False;vol-08b711c3d1c514b75;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;442426872653;us-east-1;2026-04-20 09:06:04.789728;2.0.2;Checks whether security groups that are in use disallow unrestricted incoming SSH traffic.;Disallow Internet Connection;;;vpc;;PASS;Security group cloudshell-elasticache-ftale-hex4-valkey-cache (sg-0783bacac25e29295) does not have SSH port 22 open to the Internet.;arn:aws:ec2:us-east-1:442426872653:security-group/sg-0783bacac25e29295;ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22;False;sg-0783bacac25e29295;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;442426872653;us-east-1;2026-04-20 09:06:04.789728;2.0.2;Checks whether security groups that are in use disallow unrestricted incoming SSH traffic.;Disallow Internet Connection;;;vpc;;PASS;Security group foretale-windows-rdp-sg (sg-08d5bc383b1311eda) does not have SSH port 22 open to the Internet.;arn:aws:ec2:us-east-1:442426872653:security-group/sg-08d5bc383b1311eda;ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22;False;sg-08d5bc383b1311eda;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;442426872653;us-east-1;2026-04-20 09:06:04.789728;2.0.2;Checks whether security groups that are in use disallow unrestricted incoming SSH traffic.;Disallow Internet Connection;;;vpc;;PASS;Security group foretale-elastic-cache-sg (sg-0adf4bb35d2e20d92) does not have SSH port 22 open to the Internet.;arn:aws:ec2:us-east-1:442426872653:security-group/sg-0adf4bb35d2e20d92;ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22;False;sg-0adf4bb35d2e20d92;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;442426872653;us-east-1;2026-04-20 09:06:04.789728;2.0.2;Checks whether security groups that are in use disallow unrestricted incoming SSH traffic.;Disallow Internet Connection;;;vpc;;PASS;Security group foretale-public-alb-sg (sg-033cb6f94c0b56aac) does not have SSH port 22 open to the Internet.;arn:aws:ec2:us-east-1:442426872653:security-group/sg-033cb6f94c0b56aac;ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22;False;sg-033cb6f94c0b56aac;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;442426872653;us-east-1;2026-04-20 09:06:04.789728;2.0.2;Checks whether security groups that are in use disallow unrestricted incoming SSH traffic.;Disallow Internet Connection;;;vpc;;PASS;Security group foretale-vpce-sg (sg-03aa1224a236cb792) does not have SSH port 22 open to the Internet.;arn:aws:ec2:us-east-1:442426872653:security-group/sg-03aa1224a236cb792;ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22;False;sg-03aa1224a236cb792;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;442426872653;us-east-1;2026-04-20 09:06:04.789728;2.0.2;Checks whether security groups that are in use disallow unrestricted incoming SSH traffic.;Disallow Internet Connection;;;vpc;;PASS;Security group foretale-rds-sg (sg-006ae0081cf30c3e9) does not have SSH port 22 open to the Internet.;arn:aws:ec2:us-east-1:442426872653:security-group/sg-006ae0081cf30c3e9;ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22;False;sg-006ae0081cf30c3e9;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
aws;AWS Control Tower is a management and governance service that you can use to navigate through the setup process and governance requirements that are involved in creating a multi-account AWS environment.;442426872653;us-east-1;2026-04-20 09:06:04.789728;2.0.2;Checks whether security groups that are in use disallow unrestricted incoming SSH traffic.;Disallow Internet Connection;;;vpc;;PASS;Security group foretale-internal-alb-sg (sg-0653f28f6b0f62748) does not have SSH port 22 open to the Internet.;arn:aws:ec2:us-east-1:442426872653:security-group/sg-0653f28f6b0f62748;ec2_securitygroup_allow_ingress_from_internet_to_tcp_port_22;False;sg-0653f28f6b0f62748;AWS-Audit-Manager-Control-Tower-Guardrails;AWS Audit Manager Control Tower Guardrails;
