PROVIDER;DESCRIPTION;ACCOUNTID;REGION;ASSESSMENTDATE;REQUIREMENTS_ID;REQUIREMENTS_DESCRIPTION;REQUIREMENTS_ATTRIBUTES_SECTION;REQUIREMENTS_ATTRIBUTES_SUBSECTION;REQUIREMENTS_ATTRIBUTES_SUBGROUP;REQUIREMENTS_ATTRIBUTES_SERVICE;REQUIREMENTS_ATTRIBUTES_TYPE;STATUS;STATUSEXTENDED;RESOURCEID;CHECKID;MUTED;RESOURCENAME;FRAMEWORK;NAME;REQUIREMENTS_ATTRIBUTES_COMMENT
aws;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing.;442426872653;us-east-1;2026-04-20 09:06:04.789728;164_308_a_4_ii_a;If a health care clearinghouse is part of a larger organization, the clearinghouse must implement policies and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.;164.308 Administrative Safeguards;;;aws;;PASS;ACM Certificate 7e6e7d7f-f8f5-480e-9e4b-961d86f92ece for api.foretale.net expires in 318 days.;arn:aws:acm:us-east-1:442426872653:certificate/7e6e7d7f-f8f5-480e-9e4b-961d86f92ece;acm_certificates_expiration_check;False;7e6e7d7f-f8f5-480e-9e4b-961d86f92ece;HIPAA;HIPAA compliance framework;
aws;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing.;442426872653;us-east-1;2026-04-20 09:06:04.789728;164_312_e_1;Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.;164.312 Technical Safeguards;;;aws;;PASS;ACM Certificate 7e6e7d7f-f8f5-480e-9e4b-961d86f92ece for api.foretale.net expires in 318 days.;arn:aws:acm:us-east-1:442426872653:certificate/7e6e7d7f-f8f5-480e-9e4b-961d86f92ece;acm_certificates_expiration_check;False;7e6e7d7f-f8f5-480e-9e4b-961d86f92ece;HIPAA;HIPAA compliance framework;
aws;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing.;442426872653;us-east-1;2026-04-20 09:06:04.789728;164_308_a_4_ii_a;If a health care clearinghouse is part of a larger organization, the clearinghouse must implement policies and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.;164.308 Administrative Safeguards;;;aws;;PASS;ACM Certificate ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80 for gateway.foretale.net expires in 150 days.;arn:aws:acm:us-east-1:442426872653:certificate/ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80;acm_certificates_expiration_check;False;ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80;HIPAA;HIPAA compliance framework;
aws;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing.;442426872653;us-east-1;2026-04-20 09:06:04.789728;164_312_e_1;Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.;164.312 Technical Safeguards;;;aws;;PASS;ACM Certificate ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80 for gateway.foretale.net expires in 150 days.;arn:aws:acm:us-east-1:442426872653:certificate/ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80;acm_certificates_expiration_check;False;ef4f7d7b-6f11-4bd6-892c-2f0fc69c8c80;HIPAA;HIPAA compliance framework;
aws;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing.;442426872653;us-east-1;2026-04-20 09:06:04.789728;164_308_a_1_ii_d;Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.;164.308 Administrative Safeguards;;;aws;;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;HIPAA;HIPAA compliance framework;
aws;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing.;442426872653;us-east-1;2026-04-20 09:06:04.789728;164_308_a_3_ii_a;Implement procedures for the authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.;164.308 Administrative Safeguards;;;aws;;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;HIPAA;HIPAA compliance framework;
aws;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing.;442426872653;us-east-1;2026-04-20 09:06:04.789728;164_308_a_6_ii;"Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity or business associate; and document security incidents and their outcomes.";164.308 Administrative Safeguards;;;aws;;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;HIPAA;HIPAA compliance framework;
aws;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing.;442426872653;us-east-1;2026-04-20 09:06:04.789728;164_312_b;Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.;164.312 Technical Safeguards;;;aws;;FAIL;API Gateway api-ecs-task-invoker ID itpkscu97c in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/itpkscu97c/stages/main;apigateway_restapi_logging_enabled;False;api-ecs-task-invoker;HIPAA;HIPAA compliance framework;
aws;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing.;442426872653;us-east-1;2026-04-20 09:06:04.789728;164_308_a_1_ii_d;Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.;164.308 Administrative Safeguards;;;aws;;FAIL;API Gateway api-storage-invoker ID q7a7pxjy02 in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/q7a7pxjy02/stages/main;apigateway_restapi_logging_enabled;False;api-storage-invoker;HIPAA;HIPAA compliance framework;
aws;The Health Insurance Portability and Accountability Act of 1996 (HIPAA) is legislation that helps US workers to retain health insurance coverage when they change or lose jobs. The legislation also seeks to encourage electronic health records to improve the efficiency and quality of the US healthcare system through improved information sharing.;442426872653;us-east-1;2026-04-20 09:06:04.789728;164_308_a_3_ii_a;Implement procedures for the authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.;164.308 Administrative Safeguards;;;aws;;FAIL;API Gateway api-storage-invoker ID q7a7pxjy02 in stage main has logging disabled.;arn:aws:apigateway:us-east-1::/restapis/q7a7pxjy02/stages/main;apigateway_restapi_logging_enabled;False;api-storage-invoker;HIPAA;HIPAA compliance framework;
